Nome;Razão social;CPF;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro
Douglas da Silva Pires;;31949161811;;;;;;;;;;
DOUGLAS FERREIRA ALVES;;10696984741;;;;;;;;;;
Douglas IP;;;;;;;;;;;;
Douro Comercio de Piscina Ltda;;;23156569000146;;;;;;;;;
DOW BRASIL SUDESTE INDUSTRIAL LTDA;DOW BRASIL SUDESTE INDUSTRIAL LTDA;;53877627000949;335212266110;tmsilva@dow.com;51884089;11460003;SP;Guarujá;AVENIDA SANTOS DUMONT;4444;SÍTIO PAECARA (VICENTE DE CARVALHO)
DSM SERVIÇOS EMPRESARIAIS LTDA;;;26619309000158;;;;;;;;;
DS TRANSPORTES LTDA ME;;;14906870000139;;;;;;;;;
DUTRA MAQUINAS COMERCIAL E TEC;;;;;;;;;;;;
DUTRA MAQUINAS COMERCIAL E TECNICA LTDA;DUTRA MAQUINAS COMERCIAL E TECNICA LTDA;;50970342000889;136772078110;;1127958800;02145900;SP;São Paulo;AVENIDA MARIO HABERFELD;555;PQ NOVO MUNDO
DUTRAPISO TECNOLOGIA EM PISO INDUSTRIAL LTDA;;;39151776000148;;;;;;;;;
Ecobio;;;;;;;;;;;;
EDP Luz;;;;;;;;;;;;
Edson Aparecido Cerino Gomes 13926992824;;;35416389000135;;;;;;;;;
ELETRICA BOBBIO;;;10326615000166;;;;;;;;;
ELETRICA DANUBIO INDUSTRIA E COM DE MAT ELETRICOS LTDA;ELETRICA DANUBIO INDUSTRIA E COM DE MAT ELETRICOS LTDA;;61310256000190;336660095115;;1133773333;07222015;SP;Guarulhos;RUA BARAO DE PENEDO;319;CUMBICA
ELETRICA MAV LTDA;ELETRICA MAV LTDA;;28516107000106;128337214115;;1149965700;02112000;SP;São Paulo;RUA GUARANESIA;207;VILA MARIA BAIXA
ELETRICA SAO PAULO;;;39050919000125;;;;;;;;;
ELETRO BUSCARIOLI LTDA;ELETRO BUSCARIOLI LTDA;;51687713000106;105551256112;;1126183611;03055000;SP;São Paulo;RUA S O LEOPOLDO;259;BELENZINHO
ELETROMECANICA MOTTA LTDA;;;;;;;;;;;;
ELETRO MECANICA SUZANO - LTDA;;;08746226000148;;;;;;;;;
ELETROSUL DISTRIBUIDORA LTDA;;;02554116000289;;;;;;;;;
ELIEL FRANCISCO MALAQUIAS;;;07885340000196;;;;;;;;;
ELIGEMAR IND.DE CONF.LTDA;;;82869298000135;;;;;;;;;
ELLEKTRA ENGENHARIA E SOLUÇÕES LTDA;;;44962708000107;;;;;;;;;
ELO SCIENTIFIC INDUSTRIA E COMERCIO LTDA;;;44841520000100;;;;;;;;;
ELYON ELETRONIC PARTS;;;44461902000109;;;;;;;;;
EMBASA - Baiana de Águas e Saneamento S/A;;;13504675000110;;;;;;;;;
EMPILHADEIRAS NOBRE COMERCIO;;;;;;;;;;;;
EMPÓRIO ANDALUZIA LTDA;;;05649289000279;;;;;;;;;
Engenharia e Inspeções Ltda;;;14303253000149;;;;;;;;;
ENGENIVEL MATERIAIS PARA CONSTRUÇÃO LTDA;;;44187875000110;;;;;;;;;
ENGENTEC ELETRICA E TECNOLOGIA LTDA;;;67914874000125;;;;;;;;;
ENGETEC MANUTENÇÃO INDUSTRIAL LTDA;;;45432759000181;;;;;;;;;
ENGINSTREL ENGEMATIC INSTRUMENTAÇÃO LTDA;;;59123257000183;;;;;;;;;
EPIS E EPCS SEGURANCA TOTAL LTDA;EPIS E EPCS SEGURANCA TOTAL LTDA;;40997742000158;455296020110;;1938182122;13843006;SP;Mogi Guaçu;RUA        TOME DE SOUZA;24;VILA PARAISO
EPIS ONLINE COMERCIO LTDA - EPP;EPIS ONLINE COMERCIO LTDA - EPP;;22712006000124;209588740119;;1430108173;17030520;SP;Bauru;AVENIDA DUQUE DE CAXIAS;2948;PARQUE PAULISTANO
EQSAN INDUSTRIA E COMERCIO LTDA;;;14606840000107;;;;;;;;;
E-SAUDE SEGURANCA OCUPACIONAL LTDA;;;;;;;;;;;;
ESKELSEN SUPER RECAP.PNEUS COMERCIO E SERVICOS EIRELI;ESKELSEN SUPER RECAP.PNEUS COMERCIO E SERVICOS EIRELI;;48551626000112;420021080117;;1221242000;12600970;SP;Lorena;ROD.PRESIDENTE DUTRA KM;56;ATERRADO
E S LEANDRO EXTINTORES;;;12462234000130;;;;;;;;;
ESTÚDIO PEDRA;;;14573776000105;;;;;;;;;
Exames Médicos;;;;;;;;;;;;
EXPRESS GRAFICA E EDITORA EIRE;;;;;;;;;;;;
Expresso Elimar;;;;;;;;;;;;
EXPRESSO GUAPORE;;;16586629000103;;;;;;;;;
EXPRESSO PRINCESA DOS CAMPOS S;;;;;;;;;;;;
FABIANO FERNANDES DE SOUZA;;;55352497000107;;;;;;;;;
FABIO BEJR TRANSPORTES LTDA;;;34972698000129;;;;;;;;;
FABIO SANTUCCI BEJR TRANSPORTE;;;;;;;;;;;;
Fabricio IP;;;;;;;;;;;;
FAE COMERCIAL DE FERREGENS;;;;;;;;;;;;
FAMOSO MOVEIS;;;04046239000153;;;;;;;;;
FARDAS EXPRESS;;;39725883000132;;;;;;;;;
FAST SOLUÇÕES EM TRANSPORTES E LOGISTICA LTDA;;;52854021000178;;;;;;;;;
Favaretto PORTAS AUTOMÁTICAS;;;14074576000108;;;;;;;;;
FAXON QUIMICA LTDA;FAXON QUIMICA LTDA;;94837598000383;165201508113;dieison@faxon.com.br;30364030;13478723;SP;Americana;RUA DO SOLDADOR;210;JARDIM WERNER PLAAS
Fedex;;;;;;;;;;;;
Felipe acido;;;;;;;;;;;;
FENIX EQUIPAMENTOS DE SEGURANCA CONTRA INCENDIO LTDA;FENIX EQUIPAMENTOS DE SEGURANCA CONTRA INCENDIO LTDA;;59435450000150;672739105112;;11961787308;08610101;SP;Suzano;Avenida Brasilia;1361;Vila Urupes
Fenix Extintores Ltda;Fenix Extintores Ltda;;09293381000119;672195986115;;11996178730;08610101;SP;Suzano;R Brasilia;1398;VL. Urupes
Férias;;;;;;;;;;;;
FERIMPORT COMERCIO REP E IMPORTACAO LTDA;;;;;;;;;;;;
FERIMPORT COMERCIO REP.E IMPORTACAO LTDA;FERIMPORT COMERCIO REP.E IMPORTACAO LTDA;;01791324000581;69162208;;7331668351;45820970;BA;Eunápolis;FAZENDA BRASILANDIA BA 275 KM 24;0;BA 275 KM 24
FERIMPORT COMERCIO REPRESENTAC;;;01791324000158;;;;;;;;;
FERNANDA PANSINI SOCIEDADE INDIVIDUAL DE ADVOCACIA;;;40350454000107;;;;;;;;;
FERROS E AÇOS JB LTDA;;;;;;;;;;;;
FGTS;;;;;;;;;;;;
Firje Service Com. Compressores e Bombas Ltda;;;;;;;;;;;;
FLAT PISOS ENGENHARIA;;;;;;;;;;;;
FLEX BOMBAS LTDA;FLEX BOMBAS LTDA;;56968931000132;555158310110;;19993636331;13660492;SP;Porto Ferreira;R BEATRIZ BORELLI ZUZI;75;POLO COMERCIAL SALOME
FLEXQUIM IMPORTADORA E DISTRIBUIDORA;FLEXQUIM IMPORTADORA E DISTRIBUIDORA;;32953445000182;623183542110;;1141547069;06504150;SP;Santana de Parnaíba;AV. JOSE ROBERTO DE CAMARGO TOLEDO;563;CHACARA SAO LUIS
forlabexpress;;;;;;;;;;;;
FORT LOG TRANSPORTES LTDA;;;11027811000100;;;;;;;;;
FORTNITRO IND C P QUIM LTDA ME;;;;;;;;;;;;
FORTNITRO INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;FORTNITRO INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;;02668664000159;379066761119;;;08586170;SP;Itaquaquecetuba;RUA DO COBRE;400;PARQUE SAO PEDRO
FORTPLAST BRASIL INDUSTRIA E COMERCIO LTDA;FORTPLAST BRASIL INDUSTRIA E COMERCIO LTDA;;51258698000180;135595999110;;1149753226;09290520;SP;Santo André;AV DOS ESTADOS;6019;JARDIM MONTE LIBANO
Francine Placido;;;;;;;;;;;;
Francisco Carlos dos Santos;;00412464896;;;;;;;;;;
Frete;;;;;;;;;;;;
Frete - Paulo;;;;;;;;;;;;
Fundação de Apoio à Universidade de São Paulo;;;68314830000127;;;;;;;;;
Fundação de Desenvolvimento da Unicamp;;;;;;;;;;;;
Fundo Municipal dos Direitos da Criança e do Adolescente;;;22399551000102;;;;;;;;;
G A BARBOSA PEREIRA SERVICOS DE MOLAS;G A BARBOSA PEREIRA SERVICOS DE MOLAS;;23522142000114;672456308115;;1147477436;08613530;SP;Suzano;RUA BENEDITO LEITE DE SIQUEIRA;23;VILA SANTANA
GARAGEM D-AUTOPEÇAS E SERVIÇOS LTDA;;;53504389000179;;;;;;;;;
GB Company;;;68964026000193;;;;;;;;;
GCG Irrigações LTDA;;;03502042000208;;;;;;;;;
GCG IRRIGAÇOES LTDA EPP;;;;;;;;;;;;
GDA CONSULTORIA LTDA;;;28307710000188;;;;;;;;;
GENERAL INSTRUMENTS ENG. DANFE REPRES. COM. LTDA;;;60367182000165;;;;;;;;;
GENS EXPRESS;;;;;;;;;;;;
Gens Válvulas de Controle e Acessórios;;;09430074000132;;;;;;;;;
GERMANO APARECIDO DINIZ 29446654807;;29446654807;;;;;;;;;;
GESSO E DRYWALL ANDRADE ITAIM LTDA;GESSO E DRYWALL ANDRADE ITAIM LTDA;;47791946000187;136776988119;;1132975232;08151000;SP;São Paulo;Est DOM JOAO NERY;3040;JARDIM BARTIRA
GESSO IDEAL;;;12774317000164;;;;;;;;;
GICELIA CARDOSO SAO FELIZ;;;;;;;;;;;;
GILBERTO FORTE AUTOMAÇÃO INDUSTRIAL;;;27376677000185;;;;;;;;;
GIMBA SUPRICORP SUPRIMENTOS LTDA;SUPRICORP SUPRIMENTOS LTDA;;54651716001150;206192669114;;1127635000;06422122;SP;Barueri;AVENIDA PREFEITO JOAO VILALLOBO QUERO, 1;1160;JARDIM BELVAL
GLOBALFIBRA;;;;;;;;;;;;
GLOBALTEK COMERCIO E REPRESENTACOES LTDA.;;;03905063000428;;;;;;;;;
GMC COMPONENTES ELETRICOS E AUTOMACAO LTDA;GMC COMPONENTES ELETRICOS E AUTOMACAO LTDA;;19594385000190;635735011111;;1123566802;09661040;SP;São Bernardo do Campo;RUA JOAO BATISTA DE ALMEIDA;118;TABOAO
GODI TRANSPORTES LTDA;;;47227873000103;;;;;;;;;
Goema Cons. Ind. e Com. Ltda.;;;;;;;;;;;;
GOL LINHAS AEREAS;;;;;;;;;;;;
GOMES E CAMARGO – SOCIEDADE DE ADVOGADOS;;;26545100000197;;;;;;;;;
GOTAQUIMICA PRODUTOS QUIMICOS;;;45006780000115;;;;;;;;;
Gox Fibra;;;;;;;;;;;;
GRAFSIGN COMERCIO DE PRODUTOS GRAFICOS LTDA.;GRAFSIGN COMERCIO DE PRODUTOS GRAFICOS LTDA.;;21997212000165;144345820110;;1132177070;04343900;SP;São Paulo;Carnaubeiras;168;Jabaquara
GREENPACK COM. DE TAMBORES E;;;36346796000186;;;;;;;;;
GR INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;GR INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;;03157268000120;282057030118;;551231412144;12704420;SP;Cruzeiro;RUA JOSE ROSSETTI;136;DISTRITO INDUSTRIAL II
GR INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;GR INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;;03157268000200;513464194110;;551938444017;13148153;SP;Paulínia;RUA JOAQUIM ARICO, N. 468;SN;BETEL
GRSA;;;;;;;;;;;;
GR SERVICOS E ALIMENTACAO LTDA;GR SERVICOS E ALIMENTACAO LTDA;;02905110000470;007616262;;551121353000;41820021;BA;Salvador;AV TANCREDO NEVES;2227;CAMINHO DAS ARVORES
GR SERVICOS E ALIMENTACAO LTDA;;;;;;;;;;;;
GRUPO CASAS BAHIA SA;GRUPO CASAS BAHIA SA;;33041260141493;106513734;;;42800331;BA;Camaçari;V PARAFUSO;0;PETROQUIMICO
GRUPO CRAFT ADESIVOS E SERVICOS LTDA;;;43983669000153;;;;;;;;;
GUARA QUIMICA INDUSTRIA E COMERCIO;;;39342950000130;;;;;;;;;
GUARDA MIRIM DE SUZANO;;;49908650000129;;;;;;;;;
Guia de INSS;;;;;;;;;;;;
Guia de IRRF;;;;;;;;;;;;
Guia de Sindicato;;;;;;;;;;;;
GUILHERME PRADO MARQUES;;;;;;;;;;;;
Guincho 2 irmãos;;;36130860000197;;;;;;;;;
: HAJERMAQ-YOSHITA COMERCIO E MA;;;65876468000190;;;;;;;;;
HAMBURG SUD IMPORTAÇÃO;;;;;;;;;;;;
Hapag Lloyd - demurrage;;;;;;;;;;;;
HELDER BLOCOS ARTEFATOS DE CIM;;;;;;;;;;;;
HENRIQUE QUEIROZ TOUCINI;;41727653866;;;;;;;;;;
H Flex;;;;;;;;;;;;
H FLEX COMERCIAL LTDA;;;;;;;;;;;;
H. FLEX COMERCIAL LTDA;;;65533606000138;;;;;;;;;
HGS Máquinas e Equipamentos Industriais Ltda.;;;09117668000198;;;;;;;;;
HIDRO FERT COMERCIO DE IRRIGACAO E PRODU;HIDRO FERT COMERCIO DE IRRIGACAO E PRODU;;12014533000454;219986960;;553532141399;45990090;BA;Teixeira de Freitas;Avenida DAS NACOES;288 A;MONTE CASTELO
HIGASHI & CIA LTDA;HIGASHI & CIA LTDA;;71900674000190;672004150116;;1147474722;08675000;SP;Suzano;Rua Baruel;958;Vila Costa
HIPER FIRE PREVENCAO E COMBATE AO INCENDIO LTDA;;;14737655000151;;;;;;;;;
HOTEL 3 FRONTEIRAS;;;43194294000142;;;;;;;;;
Hotelaria accor Brasil;;;;;;;;;;;;
HOTEL BINDER - LKJC GESTÃO DE NEGÓCIOS EMPRESARIAIS;;;35000001000110;;;;;;;;;
Hotel Cataguases;;;19525773000110;;;;;;;;;
Hotel Eunápolis - Porto Nápolis Hotel LTDA;;;;;;;;;;;;
Hotel Ibis Suzano;;;;;;;;;;;;
Hotel JGF EMPREENDIMENTOS HOTELEIROS;;;;;;;;;;;;
HOTEL MILENIO LTDA;;;03722325000176;;;;;;;;;
Hotel Porto Bali;;;;;;;;;;;;
Hotel Solar do imperador;;;42300004000135;;;;;;;;;
IBERKRAFT INDUSTRIA DE PAPEL E CELULOSE LTDA;IBERKRAFT INDUSTRIA DE PAPEL E CELULOSE LTDA;;77124634000695;9109492768;;4635328500;85460000;PR;Quedas do Iguaçu;Rod PR 473 Km 2;6,;Rio das Cobras
IBERKRAFT INDUSTRIA DE PAPEL E CELULOSE LTDA / UNIDADE GUARAPUAVA;;;77124634000180;4010449141;ary@iberkraft.com.br;55423629800;85010290;PR;Guarapuava;Rua Saldanha Marinho;s/n;Centro
IBERSUL INDUSTRIA DE PAPEL CELULOSE LTDA.;IBERSUL INDUSTRIA DE PAPEL E CELULOSE LTDA. EM RECUPERACAO JUDICIAL;;08988218000108;9041247530;ONILIO@IBERKRAFT.COM.BR;4236298000;85460000;PR;Quedas do Iguaçu;PR 473, KM 2,6;S/N;FAZENDA RIO DAS COBRAS
ICL AMERICA DO SUL;ICL AMERICA DO SUL S.A.;;60398138000465;672212533110;FISCAL.SUZANO@ICL-GROUP.COM;1128080600;08655000;SP;Suzano;INDIO TIBIRICA;500;VILA SOL NASCENTE
ICMS;;;;;;;;;;;;
IDEAL RV;;;;;;;;;;;;
IDENTICAR VISTORIA VEICULAR;;;33385013000185;;;;;;;;;
IFM ELECTRONIC LTDA;IFM ELECTRONIC LTDA;;02263430000121;796290943115;;;07180000;SP;Guarulhos;Av Monteiro Lobato;4550;Cumbica
IFM ELECTRONIC LTDA;IFM ELECTRONIC LTDA;;02263430000393;256424691;;;89219600;SC;Joinville;RUA DONA FRANCISCA, 8300;8300;Distrito Industrial
Igles Comércio de Embalagens e Logística Ltda;;;;;;;;;;;;
IGNIS LTDA;;;44375383000158;;;;;;;;;
IMETAL COMERCIO;;;;;;;;;;;;
IMETAL COMERCIO E SERVICOS LTDA;IMETAL COMERCIO E SERVICOS LTDA;;27220361000108;454522719115;;1147355232;08750540;SP;Mogi das Cruzes;R GUILHERME GEORGE;1984;JUNDIAPEBA
IMPERIAL SUZANO APART HOTEL LT;;;04540457000140;;;;;;;;;
IMPERIO PERSIANAS IND;;;22478189000165;;;;;;;;;
IMPORTAÇÃO;;;;;;;;;;;;
IMPORTT Importacao, Distribuicao e Varejo Ltda;IMPORTT Importacao, Distribuicao e Varejo Ltda;;41358696000100;260989096;;48991423256;88870000;SC;Orleans;ROD SC 108 - KM 36;000;Corridas
impost;;;;;;;;;;;;
Impostos;;;;;;;;;;;;
Impostos em atraso;;;;;;;;;;;;
INACI0 LUIZ DE LIMA JAQUES - ME;INACI0 LUIZ DE LIMA JAQUES - ME;;72829575000122;672070784112;;1147481030;08665380;SP;Suzano;R.HORACIO NELSON RONDINELLI;641;CIDADE EDSON
Inácio Luiz de Lima Jaques - ME;;;;;;;;;;;;
INC TECNOLOGIA E MANUTENÇÃO EIRELI;;;22499228000100;;;;;;;;;
INDACRILICOS INDUSTRIA E COMERCIO LTDA - EPP;INDACRILICOS INDUSTRIA E COMERCIO LTDA - EPP;;10911308000142;148651527111;;1127291030;04675060;SP;São Paulo;R SARGENTO FRANCISCO BOEMING;209;JARDIM TAQUARAL
Indfiltros Filtros Industriais Eireli EPP;;;20665846000158;;;;;;;;;
INDFLOW EQUIPAMENTOINDUSTRIAIS;;;30388178000112;;;;;;;;;
INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;;02625899000163;;nfe@pontenovapapeis.ind.br;3138198200;35430085;MG;Ponte Nova;RUA FELISBERTO LEOPOLDO;756;SANTA TERESA
INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;INDUSTRIA DE PAPÉIS E EMBALAGENS PONTE NOVA LTDA.;;02625899000163;6907688790040;nfe@pontenovapapeis.ind.br;3138198200;35430085;MG;Ponte Nova;RUA FELISBERTO LEOPOLDO;756;SANTA TERESA
INFLUX IMPORTACAO E COMERCIO LTDA;;;;;;;;;;;;
INFO WORLD LTDA;;;74210584000166;;;;;;;;;
INGER DO BRASIL;;;;;;;;;;;;
INGER DO BRASIL COMERCIO DE PRODUTOS QUIMICOS LTDA.;INGER DO BRASIL COMERCIO DE PRODUTOS QUIMICOS LTDA.;;10328941000102;388114213118;;11957809135;13295414;SP;Itupeva;PAULO RODRIGUES;580;JARDIM SANTA BARBARA
INGLÊS BRUNA AQUILERA ANDRADE 4421997;;;28199247000106;;;;;;;;;
INOPLASTIC INDUSTRIA C LTDA ME;;;24544261000130;;;;;;;;;
INOXFLAN  IND. E COM. DE EQUIPS INDS LTDA;INOXFLAN  IND. E COM. DE EQUIPS INDS LTDA;;30023987000120;119215884111;;1127918365;03624010;SP;São Paulo;RUA LUIS ASSON;345;VILA BUENOS AIRES
INOXPLASMA COMÉRCIO DE METAIS LTDA;;;67423111000181;;;;;;;;;
INPA;INPA;;23524952000703;5110611700179;nfeentrada.inpa@smurfitkappa.com.br;34653000;38064750;MG;Uberaba;BR 050 KM 168;;DISTRITO INDUSTRIAL II
INPA INDUSTRIA DE EMBALAGENS SANTANA S/A;INPA INDUSTRIA DE EMBALAGENS SANTANA S/A;;23524952000100;5110611700098;nfeentrada.impa@smurfitkappa.com.br;34653000;36730000;MG;Pirapetinga;RUA INPA;186;CENTRO
INST BRAS DO MEIO AMB E DOS REC NAT;;;03659166000102;;;;;;;;;
INSTITUTO NACIONAL DA PROPRIED;;;42521088000137;;;;;;;;;
INTEGRAFLOW SOLUTIONS LTDA;;;46467971000147;;;;;;;;;
INTERCUF INDUSTRIA E COMERCIO LTDA;INTERCUF INDUSTRIA E COMERCIO LTDA;;43736099000288;244290070118;;19998383411;13012970;SP;Campinas;Rodovia Lix da Cunha;Km 08;Bairro dos Pedrosos
INTERLAB DISTR. PROD. CIENTIFICOS LTDA.;INTERLAB DISTR. PROD. CIENTIFICOS LTDA.;;46849303000184;109194165110;;1155649500;04330130;SP;São Paulo;PRACA ISAAC OLIVER, 342;342;VILA CAMPESTRE
Intermarítima;;;;;;;;;;;;
Intermedica;;;;;;;;;;;;
INTERNATIONAL PAPER DO BRASIL LTDA;INTERNATIONAL PAPER DO BRASIL LTDA;;52736949000158;455000274118;Ana.Caroline@ipaper.com;38618857;13845901;SP;Mogi Guaçu;RODOVIA SP-340 KM 171;;VILA CHAMPION
IPEL ITIBANYL PRODUTOS ESPECIAIS LTDA;;;59743773000100;;;;;;;;;
IPEL ITIBANYL PRODUTOS ESPECIAIS LTDA;;;;;;;;;;;;
ISOKHEM COMERCIAL;;;;;;;;;;;;
ISOKHEM COMERCIAL LTDA;ISOKHEM COMERCIAL LTDA;;30262389000104;623210043115;;1126806222;06529240;SP;Santana de Parnaíba;RUA FORTALEZA;116;JD REPRESA
ISOLAPLAST - ISOLANTES E PLAST;;;;;;;;;;;;
ISSOTELECOM LTDA;;;15712505000156;;;;;;;;;
ITAPETY MOVEIS E DECORACOES LT;;;00962765000102;;;;;;;;;
ITARARE HOTEL LIMITADA;;;;;;;;;;;;
Itau;;;;;;;;;;;;
IWAKI DO BRASIL COMERCIO DE BOMBAS HIDRAULICAS LTDA;IWAKI DO BRASIL COMERCIO DE BOMBAS HIDRAULICAS LTDA;;24746591000109;708120697119;;1932445900;13277650;SP;Valinhos;ROD. MUNICIPAL DOS ANDRADAS;1662;JARDIM LORENA
Iwaki do Brasil Ltda;;;;;;;;;;;;
J.A. ADELSON DA SILVA INSTALACAO EPP;J.A. ADELSON DA SILVA INSTALACAO EPP;;13740355000169;454201601110;;11996538597;08750540;SP;Mogi das Cruzes;RUA GUILHERME GEORGE;1984;JUNDIAPEBA
J A A M TEIXEIRA COMERCIO EIRELI;;;32798703000101;;;;;;;;;
J A A M TEIXEIRA COMERCIO LTDA;;;;;;;;;;;;
JADE MATERIAIS ELETRICOS E HIDRAULICOS LTDA;JADE MATERIAIS ELETRICOS E HIDRAULICOS LTDA;;07739490000191;454887266110;;1147216030;08760330;SP;Mogi das Cruzes;RUA JOSE ANTONIO DA COSTA;011;Jardim Layr
J A S COMERCIO DE ARTEFATOS DE BORRACHA EIRELI EPP;J A S COMERCIO DE ARTEFATOS DE BORRACHA EIRELI EPP;;85072098000145;4221017213;;4532261207;85805000;PR;Cascavel;AVENIDA TANCREDO NEVES;1489;CENTRO
JBG SERVIÇOS ADMINISTRATIVOS E LOGISTICA LTDA;;;;;;;;;;;;
J D VIZIMED SAUDE E SEGURANÇA;;;39500598000113;;;;;;;;;
JESFE SOLDAS E MONTAGENS INDUSTRIAIS LTDA;;;45446958000149;;;;;;;;;
J. L. DA SILVA HIDRAULICOS;J. L. DA SILVA HIDRAULICOS;;06262417000109;672169257110;;0;08693280;SP;Suzano;AVENIDA KATISUTOSHI NAITO;294;CIDADE BOA VISTA
J.L HIDRÁULICA;;;;;;;;;;;;
JOHN MICHAEL MUCHUKOT;;;;;;;;;;;;
JOMAG COMERCIO IMPORTACAO E EXPORTACAO LTDA;JOMAG COMERCIO IMPORTACAO E EXPORTACAO LTDA;;41800182000162;454771950118;;;08790230;SP;Mogi das Cruzes;AV HELIO BORENSTEIN;746;VILA OLIVEIRA
JONATHAN MATHEUS BEZERRA DE MORAES;;;50195281000153;;;;;;;;;
JOSE GERALDO ALVES;;;;;;;;;;;;
José IP;;;;;;;;;;;;
JOSE ROSERIO OLIVEIRA DE SOUSA - ME;;;14238865000103;;;;;;;;;
José Smail da Silva;;;;;;;;;;;;
JP EXTINTORES LTDA;;;65728117000131;;;;;;;;;
JRR SOLUÇÕES INDUSTRIAIS LTDA;;;55565462000148;;;;;;;;;
JULLIFLEX MANGUEIRAS E CONEXOES;;;17552590000168;;;;;;;;;
JVD COM EMBALAGENS EIRELI;;;;;;;;;;;;
J V G DE LIMA JUNIOR - DISTRIBUIDORA;J V G DE LIMA JUNIOR - DISTRIBUIDORA;;48262317000122;672674625118;;13991199375;08675420;SP;Suzano;Rua Aurora;350;Vila Sao Francisco
KAEMA COMERCIAL LTDA;;;01379616000188;;;;;;;;;
KAINÃ LIMA;;;;;;;;;;;;
Kaique marcal dos Santos;;38260330865;;;;;;;;;;
KALIFA BRINDES LTDA;;;49149975000175;;;;;;;;;
Kalunga;;;;;;;;;;;;
Karla Kister;;;;;;;;;;;;
KAZZA DAS FERRAGENS;;;12642277000105;;;;;;;;;
KELMI BORDADOS UNIFORMES;;;05465072000128;;;;;;;;;
KERNELTEC TECNOLOGIA DA INFOMAÇÃO LTDA;;;;;;;;;;;;
KEYENCE BRASIL COMERCIO D E PRODUTOS ELETRONICOS LT DA;;;;;;;;;;;;
KEYENCE BRASIL COMERCIO DE PRODUTOS ELETRONICO S LTDA;;;13743249000139;;;;;;;;;
Kibloky deposito;;;04410807000153;;;;;;;;;
KING COMERCIAL DISTRIBUIDORA;;;;;;;;;;;;
KISTER ENGENHARIA LTDA;;;66367250000172;;;;;;;;;
K . K DO BRASIL LTDA;;;65636888000107;;;;;;;;;
KOPPER COMERCIO LTDA;KOPPER COMERCIO LTDA;;45380895000175;799557045110;;1186265897;09632000;SP;São Bernardo do Campo;RUA IDA LEONI CLETO;710;RUDGE RAMOS
KUSTER HOTEL LTDA;;;;;;;;;;;;
LAB AUTOMACAOINDUSTRIAL LTDA;;;38210608000113;;;;;;;;;
LACRES ZENITH COMERCIO e INDUSTRIA DE MATERIAIS DE SEGURANCA;LACRES ZENITH COMERCIO e INDUSTRIA DE MATERIAIS DE SEGURANCA;;10428815000120;148359835111;;1120240427;03383070;SP;São Paulo;Rua Constantino Fusco;256;Capao da Embira
LALAMOVE TECNOLOGIA (BRASIL) L;;;;;;;;;;;;
LAMINA FERRO LIMITADA;;;;;;;;;;;;
LAMINA FERRO LIMITADA;LAMINA FERRO LIMITADA;;51365633000134;672027188112;;47461687;08615270;SP;Suzano;RUA VICENTE CELESTINO;309;VILA NOVA AMORIM
LANXESS Ind Prd Quim Plasticos LTDA;LANXESS Ind Prd Quim Plasticos LTDA;;06176436001437;400084068116;;1137416530;13241041;SP;Jarinu;Rod. Edgard Maximo Zambotto;S/N KM72.5;Jose de Lima
LAPEK COMERCIO E IMPORTACAO DE EQUIPAMENTOS LTDA;;;16823397000151;;;;;;;;;
LATAM;;;;;;;;;;;;
LAVACAR - ROBSON FABIANO DE SOUZA;;35942173885;;;;;;;;;;
LC ASSESORIA;;;;;;;;;;;;
Lenovo Tecnologia Brasil Ltda;Lenovo Tecnologia Brasil Ltda;;07275920000161;353299174110;;39325400;13337200;SP;Indaiatuba;Est Mun Jose Costa de Mesquita;200;Chacara Alvorada
LEVO-L.A. TRANSPORTADORA EIRELI;LEVO-L.A. TRANSPORTADORA EIRELI;;07678156000175;;;9920387;14091240;SP;Ribeirão Preto;AVENIDA MARIA DE JESUS CONDEIXA;600;JARDIM PALMA TRAVASSOS
Levo Transportes;;;;;;;;;;;;
LIBERO QUIMICOS;;;19833277000123;;;;;;;;;
LIBERTY LOGISTICA E TRANSPORTES LTDA;LIBERTY LOGISTICA E TRANSPORTES LTDA;;00395167000107;3949153670014;comercal04@grupolibramg.com.br;30435594;32672686;MG;Betim;RUA RIO GRANDE DO SUL;728;ESPIRITO SANTO
LIF SERVICE;;;;;;;;;;;;
LINA HILLMAN MATERIAIS ELETRICOS CIA. LTDA;LINA HILLMAN MATERIAIS ELETRICOS CIA. LTDA;;60520921000107;454095927112;;1147958500;08730000;SP;Mogi das Cruzes;R IPIRANGA;SN;JARDIM SANTISTA
Lívia Medeiros Storymaker;;;;;;;;;;;;
Liz MR Comercio e Representacoes Ltda;;;48244436000152;;;;;;;;;
